t,x,y,r,lhx,lhy,lk,rhx,rhy,rk,dx,dy,dr,dlhx,dlhy,dlk,drhx,drhy,drk,ulhx,ulhy,ulk,urhx,urhy,urk
1.362000000000001,-0.33741457115668777,0.4099610790615425,4.920236451575109,0.13382566967449464,-0.9553272618766075,1.919283937431873,0.039432186036250046,-1.010542109335718,2.0246517537982625,-0.38058795010215174,-1.4623730435468636,12.324812683696207,-1.2360852960882458,-1.022733793222526,1.954603194600728,-0.745520281615337,-0.4304087190731566,0.8199966432595889,-0.43594458827839366,-0.49031379544666287,0.961812895418657,-0.6084923788182421,-0.3877684412528482,0.6950654438832863
1.364000000000001,-0.33817583796686623,0.40703583537405896,4.944887058520385,0.13135360890715517,-0.9573723933949672,1.9231924878372664,0.037941677266440106,-1.0114026721195801,2.0262912557149764,-0.38440005458658927,-1.4816386889335365,12.337964909414405,-1.234307963592761,-1.0165075786619233,1.9425100074267598,-0.7332724847636335,-0.42632397367076597,0.8121677611587127,-0.43951751465352956,-0.4898377414000141,0.9613199262267105,-0.6113293567875484,-0.38815392854882425,0.6968289548395499
1.366000000000001,-0.3389371047770447,0.4041105916865754,4.96953766546566,0.12888154813981567,-0.9594175249133269,1.9271010382426599,0.03645116849663017,-1.0122632349034422,2.0279307576316903,-0.3882121590710268,-1.5009043343202095,12.351117135132602,-1.2325306310972761,-1.0102813641013209,1.9304168202527916,-0.72102468791193,-0.42223922826837534,0.8043388790578366,-0.4430904410286654,-0.48936168735336544,0.960826957034764,-0.6141663347568547,-0.38853941584480034,0.6985924657958134
1.368000000000001,-0.3397210697377727,0.4010704408536956,4.994264241338924,0.12641978068994403,-0.9614261665518835,1.9309387276085492,0.03503295476543414,-1.0131000127031842,2.0295246849021122,-0.392070398080662,-1.5204806044887444,12.3639481182636,-1.230797145023178,-1.0040906559874927,1.9183955516301874,-0.7087342433004619,-0.41821338526460217,0.7966254009556922,-0.44666795180905944,-0.48882326331978654,0.9602584798713407,-0.6169041182369092,-0.3889370027098242,0.7003591788496519
1.370000000000001,-0.3405185817562128,0.39796170937911035,5.01903615815085,0.12396415665539078,-0.963413029741728,1.9347341246039829,0.03365788926599654,-1.0139225947845638,2.031091411614401,-0.3959561718039298,-1.5402422664951518,12.37658737247559,-1.2290898280415659,-0.9979211393748203,1.9064172065384575,-0.696418345000088,-0.41422269729214783,0.7889808000348677,-0.4502481987243854,-0.48824761467574423,0.9596449368843788,-0.6195826989432539,-0.38934181102488746,0.7021278030283881
1.372000000000001,-0.34131609377465294,0.39485297790452517,5.043808074962775,0.12150853262083754,-0.9653998929315727,1.9385295215994165,0.032282823766558943,-1.0147451768659432,2.0326581383266906,-0.3998419455271976,-1.560003928501559,12.389226626687579,-1.2273825110599539,-0.991751622762148,1.8944388614467276,-0.6841024466997143,-0.4102320093196935,0.7813361991140431,-0.45382844563971125,-0.487671966031702,0.9590313938974169,-0.6222612796495988,-0.38974661933995075,0.7038964272071243
1.374000000000001,-0.3421136057930931,0.39174424642993994,5.0685799917747,0.1190529085862843,-0.9673867561214173,1.9423249185948501,0.030907758267121343,-1.0155677589473229,2.0342248650389796,-0.4037277192504654,-1.5797655905079662,12.401865880899567,-1.2256751940783417,-0.9855821061494756,1.8824605163549977,-0.6717865483993405,-0.40624132134723917,0.7736915981932184,-0.4574086925550372,-0.48709631738765974,0.9584178509104551,-0.6249398603559436,-0.39015142765501404,0.7056650513858604
1.376000000000001,-0.34291111781153316,0.38863551495535475,5.093351908586626,0.11659728455173106,-0.9693736193112619,1.946120315590284,0.029532692767683742,-1.0163903410287023,2.0357915917512686,-0.4076134929737332,-1.5995272525143736,12.414505135111558,-1.2239678770967297,-0.9794125895368033,1.8704821712632675,-0.6594706500989667,-0.40225063337478484,0.7660469972723939,-0.4609889394703631,-0.4865206687436175,0.9578043079234931,-0.6276184410622884,-0.3905562359700773,0.7074336755645967
1.378000000000001,-0.3437424881779777,0.3853527984939683,5.118231246284166,0.11415591763068325,-0.971307020788653,1.9498119399393548,0.02826526270689408,-1.0171787020328487,2.037292780627112,-0.4115062416069403,-1.6197602997245732,12.426613888241835,-1.222398930709838,-0.9732742507066398,1.858569946487013,-0.6470163097213047,-0.398362380742147,0.7586020432674172,-0.4645869561448959,-0.48585453004404766,0.9570821391182374,-0.6301350561716131,-0.39098688517182834,0.7092158020732562
1.380000000000001,-0.34457662966081415,0.38205584233462603,5.1431193757803175,0.11171571757462632,-0.9732360467239267,1.9534950710777905,0.0270066420046811,-1.017964262233245,2.0387886055976394,-0.41539956109751064,-1.6400319271769324,12.438679222826021,-1.2208413091821253,-0.9671384636035765,1.8466631332887251,-0.6345506386340156,-0.39448251186908406,0.7511734292457446,-0.46818642717482173,-0.485180985239604,0.9563510798973707,-0.6326384153028032,-0.3914196493056094,0.7109990336720924
