t,x,y,r,bh,bt,fh,ft,dx,dy,dr,dbh,dbt,dfh,dft,ubh,ubt,ufh,uft
0.089,-0.025424327,0.223399723,-0.514713514,-0.775,2.077176041,-1.1928,2.429,-0.174147778,0.198432739,-2.043233811,0,0,4.998413541,0.038361523,0,0,0,0
0.09,-0.025617659,0.223611879,-0.517224807,-0.77,2.077176041,-1.1924,2.43,-0.171170653,0.1964978,-1.968606968,0,0,4.842405575,-6.68E-05,0,0,0,0
0.091,-0.025767734,0.223788138,-0.518723099,-0.765,2.077176041,-1.192,2.431,-0.168406595,0.193646778,-1.908453767,0,0,4.696055629,-0.015735582,0,0,0,0
0.092,-0.025917809,0.223964398,-0.520221392,-0.76,2.077176041,-1.1916,2.432,-0.165642537,0.190795757,-1.848300565,0,0,4.549705684,-0.031404331,0,0,0,0
0.093,-0.026067884,0.224140658,-0.521719684,-0.755,2.077176041,-1.1912,2.433,-0.16287848,0.187944735,-1.788147364,0,0,4.403355738,-0.04707308,0,0,0,0
0.094,-0.026217959,0.224316917,-0.523217977,-0.75,2.077176041,-1.1908,2.434,-0.160114422,0.185093714,-1.727994162,0,0,4.257005793,-0.062741828,0,0,0,0
0.095,-0.026368034,0.224493177,-0.524716269,-0.745,2.077176041,-1.1904,2.435,-0.157350364,0.182242692,-1.667840961,0,0,4.110655847,-0.078410577,0,0,0,0
0.096,-0.026518109,0.224669437,-0.526214562,-0.74,2.077176041,-1.19,2.436,-0.154586307,0.179391671,-1.607687759,0,0,3.964305901,-0.094079326,0,0,0,0
0.097,-0.026668184,0.224845696,-0.527712854,-0.735,2.077176041,-1.1896,2.437,-0.151822249,0.176540649,-1.547534558,0,0,3.817955956,-0.109748075,0,0,0,0
0.098,-0.02681826,0.225021956,-0.529211146,-0.73,2.077176041,-1.1892,2.438,-0.149058191,0.173689628,-1.487381356,0,0,3.67160601,-0.125416824,0,0,0,0
0.099,-0.026968335,0.225198216,-0.530709439,-0.725,2.077176041,-1.1888,2.439,-0.146294134,0.170838606,-1.427228155,3.106846297,-2.402906207,3.525256064,-0.141085573,-3.712101641,-7.128197524,-4.454230197,0
0.1,-0.02711841,0.225374475,-0.532207731,-0.72,2.077176041,-1.1884,2.44,-0.143530076,0.167987585,-1.367074953,3.016359968,-2.328565144,3.378906119,-0.156754321,-3.724286054,-7.127497347,-4.396024426,0
0.101,-0.027268485,0.225550735,-0.533706024,-0.715,2.077176041,-1.188,2.441,-0.140766018,0.165136563,-1.306921752,2.92587364,-2.254224081,3.232556173,-0.17242307,-3.736470466,-7.126797169,-4.337818655,0
